 Naperville Lancaster Killeen Ocala New_London Frederick Santa_Ana Temecula Oceanside Santa_Maria Mobile Aurora Huntsville Denver Concord Henderson San_Jose Port_Arthur Orem Pueblo Rancho_Cucamonga Springfield Beaumont Kissimmee Odessa Cedar_Rapids Mission_Viejo Clearwater Davenport Austin Punta_Gorda Victorville Overland_Park Naples Trenton Plano Havre_de_Grace Davidson_County Tyler El_Paso
Thélio_Lalau 24 3 39 2 30 20 31 25 28 18 22 35 1 6 32 7 38 36 21 26 29 12 5 14 27 15 23 40 33 4 9 11 13 10 19 8 37 34 16 17
Othman_Matuszak 16 3 19 40 23 34 33 13 29 5 38 22 26 25 39 12 36 4 18 35 28 31 27 11 15 9 37 24 6 7 10 17 1 30 32 2 14 20 21 8
Judicael_Vignolles 20 34 18 33 4 27 9 31 15 24 19 1 29 30 38 26 7 13 6 25 11 10 2 22 36 12 17 5 37 14 39 8 16 23 3 21 32 40 35 28
Noélie_Lecompte 35 32 24 34 19 21 17 8 5 20 4 38 1 6 31 12 15 10 26 25 7 13 40 18 3 30 2 36 23 39 22 33 14 27 37 29 16 11 9 28
Lyes_Hamzaoui 12 27 21 34 16 32 38 4 22 9 25 11 37 7 8 29 36 23 24 1 6 33 3 28 35 2 40 31 19 26 14 5 39 20 10 15 18 30 17 13
Jaden_Grancher 8 17 28 10 16 7 2 29 31 13 32 26 11 27 14 23 4 21 36 1 34 15 18 38 20 24 12 22 5 25 35 37 40 3 39 6 30 9 33 19
Tolga_Lin 12 40 38 2 21 18 13 24 15 33 22 14 25 32 36 20 5 31 3 39 1 16 23 8 34 29 28 27 10 11 7 4 9 17 6 37 26 19 30 35
Leyna_Deyres 2 40 36 28 25 39 38 21 10 30 16 3 14 22 35 23 18 13 24 8 37 17 32 29 20 12 6 19 33 5 31 11 27 15 34 26 4 9 1 7
Souhayl_Pantalacci 12 31 28 5 18 34 1 32 22 7 14 10 39 21 35 11 33 6 19 25 29 37 17 8 15 36 13 30 16 26 24 27 3 38 9 20 40 23 4 2
Pablo_Tranier 33 5 8 32 38 17 4 14 1 28 16 35 2 29 39 34 20 6 12 19 31 24 37 13 36 10 25 11 30 3 40 21 9 26 22 15 27 18 23 7
Roxane_Gadal 9 11 13 38 4 7 10 6 37 34 26 29 33 17 24 39 20 8 16 21 3 22 35 30 28 14 27 36 15 18 19 31 23 40 32 25 1 2 12 5
Stevens_Mourrain 1 29 20 18 36 34 33 30 14 37 7 9 21 13 24 25 5 27 15 32 35 8 19 28 40 3 12 16 6 11 10 17 39 22 23 4 26 38 2 31
Safia_Ritz 26 40 3 35 33 14 11 2 4 18 8 32 29 5 34 12 17 38 20 16 13 25 6 21 31 10 39 23 27 30 28 24 1 15 36 9 37 22 7 19
Alyson_Fardin 22 10 2 3 21 12 15 16 11 23 29 33 35 6 24 20 40 18 27 32 1 19 36 13 34 28 30 7 31 4 9 38 37 25 17 26 14 39 5 8
